Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8
2003 38 2;1247;024033750145;1;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 2;1248;024033531425;1;1;0;1;0;0;0;0;0;1;0;0;1;0
2003 38 2;1249;024033750012;2;0;0;0;1;0;0;0;0;0;0;1;0;0
2003 38 2;1250;024033740447;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 2;1251;024033810259;2;1;0;0;0;0;0;0;0;0;0;0;1;0
2003 38 2;1252;024033720177;2;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 2;1253;024033730241;2;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 2;1254;024033750229;3;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 2;1255;024033740538;3;0;0;1;1;0;0;0;0;1;0;0;0;0
2003 38 2;1256;024033750438;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 2;1257;024033650501;3;1;0;1;0;0;0;1;0;1;0;1;0;1
2003 38 2;1258;024032011057;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 2;1259;024033740618;4;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 2;1260;024033710526;4;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;1;024033810105;5;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;2;024033810572;5;0;0;1;0;1;0;0;0;0;0;0;1;0
2003 38 3;3;024033810229;5;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 3;4;024033750651;5;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;5;024033710355;6;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 3;6;024033710165;6;1;0;0;0;0;0;0;0;0;0;1;1;0
2003 38 3;7;024033810989;6;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;8;024033710332;7;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;9;024033750487;7;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;10;024033811431;7;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;11;024033750877;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;12;024033710145;8;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;13;024033720032;8;0;0;0;1;0;0;0;1;0;0;0;0;0
2003 38 3;14;024033710270;8;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;15;024033710903;8;1;0;1;0;0;0;1;0;0;1;1;0;1
2003 38 3;16;024033811182;8;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;17;024033710331;8;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;18;024033810170;2;1;0;0;0;0;1;0;0;0;0;0;1;0
2003 38 3;19;024033750649;5;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;20;024033610275;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;21;024033811188;5;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;22;024033710221;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;23;024033630455;9;1;0;0;0;0;0;0;0;0;0;1;1;0
2003 38 3;24;024033810148;10;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;25;024033710195;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;26;024033810760;9;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 3;27;024033811311;9;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 3;28;024033710256;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;29;024033811254;9;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 3;30;024033810934;9;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 3;31;024033720684;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;32;024033811301;7;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;33;024033730198;7;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 3;34;024033750409;7;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;35;024033750642;5;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;36;024033750044;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;37;024033811185;7;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;38;024033710114;7;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;39;024033730196;7;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 3;40;024033810449;7;0;0;0;1;0;0;1;0;0;0;0;0;1
2003 38 3;41;024033531448;7;1;0;1;0;0;0;0;0;1;0;0;1;0
2003 38 3;42;024033750839;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 3;43;024033811181;7;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 3;44;024033710115;7;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;45;024033730166;7;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 3;46;024033811387;11;0;0;0;1;0;0;0;0;0;0;0;1;0
2003 38 3;47;024033811228;11;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 3;48;024033821292;9;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 3;49;024033710143;9;1;0;1;0;0;0;0;0;1;0;0;0;0
2003 38 3;50;024033810679;9;1;0;0;0;0;1;0;0;0;0;0;0;0
