Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8
2003 38 4;1247;024033740340;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1248;024033810969;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1249;024033830271;2;0;0;0;1;0;0;0;0;1;0;0;1;0
2003 38 4;1250;024033750156;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 4;1251;024033810876;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1252;024033830855;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 4;1253;024033740604;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1254;024033750159;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 4;1255;024033830267;4;0;0;0;1;0;0;0;0;1;0;0;1;0
2003 38 4;1256;024033740365;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1257;024033810485;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1258;024033830820;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 4;1259;024033740468;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 4;1260;024033750177;3;1;0;1;0;0;0;0;0;0;1;1;0;0
2003 38 5;1;024033540754;6;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;2;024033720035;6;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;3;024033821224;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;4;024033840813;3;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;5;024033820149;3;1;0;1;0;0;0;0;1;0;1;1;0;0
2003 38 5;6;024033830059;7;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;7;024033740372;7;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 5;8;024033840793;7;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;9;024033820976;7;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;10;024033720054;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;11;024033821134;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;12;024033740512;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;13;024033840780;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;14;024033811072;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;15;024033740308;3;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;16;024033830868;8;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;17;024033821167;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;18;024033710219;9;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;19;024033820184;9;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 5;20;024033820401;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;21;024033830778;9;0;0;0;1;0;0;0;0;1;0;0;1;0
2003 38 5;22;024033750571;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;23;024033821083;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;24;024033710400;9;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;25;024033811371;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;26;024033830790;9;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;27;024033740379;3;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;28;024033820153;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;29;024033830004;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;30;024033820980;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;31;024033830900;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;32;024033740141;3;0;0;1;1;0;0;0;0;1;0;1;1;0
2003 38 5;33;024033811214;2;1;0;1;0;0;0;0;0;0;1;0;0;0
2003 38 5;34;024033840196;10;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;35;024033740337;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;36;024033830794;10;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;37;024033821182;11;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;38;024033820573;11;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;39;024033830007;7;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 5;40;024033741040;7;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;41;024033830952;3;1;0;1;0;0;0;0;0;0;0;1;0;0
2003 38 5;42;024033821082;3;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 5;43;024033720679;9;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;44;024033821188;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;45;024033830318;9;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;46;024033750451;9;1;0;0;0;0;0;1;0;0;1;0;0;0
2003 38 5;47;024033820539;9;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;48;024033830906;3;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;49;024033750201;5;1;0;0;0;0;1;0;0;0;0;0;0;0
2003 38 5;50;024033821044;5;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;51;024033820298;5;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;52;024033740537;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;53;024033820165;5;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;54;024033840764;5;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;55;024033740387;3;1;0;1;0;0;0;0;0;0;0;1;0;0
2003 38 5;56;024033820271;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;57;024033830238;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;58;024033810953;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;59;024033840789;3;0;0;1;1;0;0;0;0;1;0;1;1;0
2003 38 5;60;024033821148;1;1;0;0;0;0;0;0;0;0;1;0;0;0
2003 38 5;61;024033720052;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;62;024033820812;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;63;024033820384;10;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;64;024033740643;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;65;024033840776;10;0;0;1;1;0;0;0;0;1;0;0;1;0
2003 38 5;66;024033750478;10;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;67;024033740560;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;68;024033820926;1;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;69;024033811352;1;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;70;024033740310;1;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;71;024033820814;12;0;0;1;1;0;0;0;0;0;0;1;0;0
2003 38 5;72;024033830886;12;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;73;024033740478;12;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;74;024033820855;12;0;0;1;0;1;0;0;0;0;0;0;0;0
2003 38 5;75;024033840247;11;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;76;024033750455;11;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;77;024033830704;11;0;1;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;78;024033821001;7;0;0;0;0;1;0;1;0;0;0;0;0;0
2003 38 5;79;024033730108;7;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;80;024033830715;10;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;81;024033820562;3;0;0;0;1;0;0;0;0;1;0;1;1;0
2003 38 5;82;024033740661;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;83;024033830256;3;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;84;024033820177;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2003 38 5;85;024033840765;3;1;0;1;0;0;0;0;1;0;1;1;0;0
2003 38 5;86;024033740442;3;1;0;0;0;0;0;0;0;1;0;0;1;0
2003 38 5;87;024033820581;3;0;0;1;1;0;0;0;0;0;0;0;0;0
2003 38 5;88;024033821197;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;89;024033821002;5;1;0;0;0;0;0;0;0;0;0;0;0;0
2003 38 5;90;024033821226;5;1;0;1;0;0;0;0;0;0;0;0;0;0
2003 38 5;91;024033840822;5;0;0;1;0;1;0;0;0;0;0;0;0;0
